Area, MajorAxisLength, MinorAxisLength, Eccentricity, ConvexArea, FilledArea, EulerNumber, EquivDiameter, Solidity, Perimeter, Intensity, X, Y, IsTopEdge, IsBottomEdge, IsLeftEdge, IsRightEdge, IsNucleus, IsOverSeg, IsUnderSeg, 
454, 2.916229e+01, 1.995206e+01, 7.293196e-01, 471, 454, 1, 2.404269e+01, 9.639066e-01, 8.125483e+01, 2.315480e+00, 3.767709e+02, 9.323480e+02, 0, 0, 0, 0, 1, 0, 0, 
310, 2.527269e+01, 1.579782e+01, 7.805491e-01, 322, 310, 1, 1.986717e+01, 9.627329e-01, 6.687006e+01, 1.340337e+00, 3.816452e+02, 1.689742e+02, 0, 0, 0, 0, 1, 0, 0, 
319, 2.690252e+01, 1.528063e+01, 8.230287e-01, 332, 319, 1, 2.015350e+01, 9.608434e-01, 6.887006e+01, 1.424369e+00, 3.822132e+02, 2.680909e+02, 0, 0, 0, 0, 1, 0, 0, 
169, 1.988037e+01, 1.200911e+01, 7.969323e-01, 209, 169, 1, 1.466893e+01, 8.086124e-01, 7.735534e+01, 4.364691e-01, 3.910118e+02, 7.106627e+02, 0, 0, 0, 0, 1, 0, 0, 
400, 2.783095e+01, 1.841484e+01, 7.497973e-01, 415, 400, 1, 2.256758e+01, 9.638554e-01, 7.618377e+01, 1.321355e+00, 3.919050e+02, 7.647200e+02, 0, 0, 0, 0, 1, 0, 0, 
330, 2.681813e+01, 1.589425e+01, 8.054468e-01, 344, 330, 1, 2.049803e+01, 9.593023e-01, 6.969848e+01, 2.210315e+00, 3.925394e+02, 5.956000e+02, 0, 0, 0, 0, 1, 0, 0, 
308, 2.784313e+01, 1.429819e+01, 8.580736e-01, 324, 308, 1, 1.980297e+01, 9.506173e-01, 7.052691e+01, 1.150896e+00, 3.925292e+02, 1.006744e+03, 0, 1, 0, 0, 1, 0, 0, 
243, 2.203923e+01, 1.570033e+01, 7.017926e-01, 282, 243, 1, 1.758969e+01, 8.617021e-01, 8.808326e+01, 6.669871e-01, 4.058683e+02, 7.381029e+02, 0, 0, 0, 0, 1, 0, 0, 
17, 6.620288e+00, 3.926801e+00, 8.050945e-01, 20, 17, 1, 4.652426e+00, 8.500000e-01, 1.589949e+01, 4.110780e-02, 4.012353e+02, 7.052353e+02, 0, 0, 0, 0, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.304112e-03, 402, 730, 0, 0, 0, 0, 0, 1, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.288853e-03, 403, 702, 0, 0, 0, 0, 0, 1, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.654002e-03, 404, 7.095000e+02, 0, 0, 0, 0, 0, 1, 0, 
397, 2.801411e+01, 1.817585e+01, 7.609500e-01, 405, 397, 1, 2.248280e+01, 9.802469e-01, 7.476955e+01, 2.179461e+00, 4.196423e+02, 8.723501e+02, 0, 0, 0, 0, 1, 0, 0, 
127, 1.801513e+01, 1.018715e+01, 8.247638e-01, 152, 127, 1, 1.271619e+01, 8.355263e-01, 5.252691e+01, 3.290150e-01, 4.215906e+02, 4.537480e+02, 0, 0, 0, 0, 1, 0, 0, 
792, 5.093520e+01, 2.328155e+01, 8.894247e-01, 964, 792, 1, 3.175540e+01, 8.215768e-01, 1.437817e+02, 4.036942e+00, 4.306705e+02, 9.552929e+02, 0, 0, 0, 0, 1, 0, 1, 
241, 1.815710e+01, 1.736854e+01, 2.915018e-01, 250, 241, 1, 1.751716e+01, 9.640000e-01, 5.711270e+01, 1.010346e+00, 4.402739e+02, 7.132531e+02, 0, 0, 0, 0, 1, 0, 0, 
295, 2.187690e+01, 1.747142e+01, 6.018304e-01, 306, 295, 1, 1.938055e+01, 9.640523e-01, 6.369848e+01, 1.570153e+00, 4.420610e+02, 7.770983e+02, 0, 0, 0, 0, 1, 0, 0, 
430, 2.857245e+01, 1.943129e+01, 7.331464e-01, 445, 430, 1, 2.339857e+01, 9.662921e-01, 7.866905e+01, 2.110918e+00, 4.478953e+02, 3.766791e+02, 0, 0, 0, 0, 1, 0, 0, 
